mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R7,R8,R9,R10,R11,R12,R13,R14,R19,R21,R23,R24,R25,R26,R29,R31,R32,R34,R35,R37,R38,R40,R41
EN300-6494854_34096,-12.190910209045336,,0.7500092707155638,,R7=[H].[H] | R8=[H].[H] | R9=[H].[H] | R10=[H] | R12=[H] | R13=[H] | R14=[H] | R19=[H]C([H])[H] | R21=[H] | R23=[H] | R24=[H] | R25=[H]NC([H])([H])[H] | R26=[H] | R29=[H].[H]C([H])[H] | R31=[H].[H] | R32=[H].[H] | R34=[H] | R35=[H].[H] | R37=F | R38=[H] | R40=[H] | R41=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)n5c(=O)[nH]c6c(c5=O)CCCN6)cc4F)CC2)n3C)c(=O)c1,,[H].[H],[H].[H],[H].[H],[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7431807_17188,-10.903926345826967,,0.5933825874569518,,R1=[H]C([H])[H] | R8=[H].[H] | R9=[H].[H] | R10=[H].[H] | R11=[H] | R13=[H] | R14=[H] | R19=[H]C([H])[H] | R21=[H] | R23=[H] | R24=[H] | R25=[H]NC([H])([H])[H] | R26=[H] | R29=[H].[H]C([H])[H] | R31=[H].[H] | R32=[H].[H] | R34=[H] | R35=[H].[H] | R37=F | R38=[H] | R40=[H] | R41=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)n5c(=O)c6c(n(C)c5=O)NCCC6)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],,[H].[H],[H].[H],[H].[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
