mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R22,R24,R26,R27,R28,R29,R32,R34,R35,R37,R38,R40,R41,R43,R44
EN300-237432_5786,-11.035698139265952,,0.6094192912131084,,R1=[H] | R2=[H] | R3=[H] | R7=[H].[H] | R8=[H].[H] | R10=[H].[H] | R11=[H].[H] | R12=[H].[H] | R13=[H].[H] | R15=[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC6(CCc7ccccc7O6)CC5)cc4F)CC2)n3C)c(=O)c1,[H],[H],[H],,,[H].[H],[H].[H],,[H].[H],[H].[H],[H].[H],[H].[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-305169_42466,-10.148885165794828,,0.5014936375392971,,R1=[H].[H]O | R2=[H].[H] | R4=[H].[H] | R5=[H].[H] | R7=[H].[H] | R8=[H].[H] | R11=[H] | R12=[H] | R13=[H] | R14=[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC6(CC5)C[C@H](O)c5ccccc5O6)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],,[H].[H],[H].[H],[H].[H],[H].[H],,,[H],[H],[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN04735029_2771,-9.382103319781198,,0.40817584175613975,,R1=Br | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H] | R9=[H].[H] | R11=[H].[H] | R12=[H].[H] | R13=[H].[H] | R14=[H].[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC6(CCc7cc(Br)ccc7O6)CC5)cc4F)CC2)n3C)c(=O)c1,Br,[H],[H],,[H],[H].[H],,[H].[H],,[H].[H],[H].[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
