mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R17,R19,R21,R22,R23,R24,R27,R29,R30,R32,R33,R35,R36,R38,R39
EN300-45381371_32030,-11.849173944505623,,0.7084197689403102,,R1=[H]OC([H])[H] | R2=[H] | R3=[H] | R4=[H] | R7=[H].[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6c(CO)cccc65)cc4F)CC2)n3C)c(=O)c1,[H]OC([H])[H],[H],[H],[H],,,[H].[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN00174920_2732,-11.736343157743402,,0.6946881966921292,,R3=[H].[H] | R5=[H] | R6=[H].[H] | R7=[H]C([H])[H] | R8=[H].[H] | R9=[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6c(C)cccc65)cc4F)CC2)n3C)c(=O)c1,,,[H].[H],,[H],[H].[H],[H]C([H])[H],[H].[H],[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-1239131_46148,-11.312816256083117,,0.6431447268991506,,R1=[H]C([H])[H] | R2=[H] | R4=[H].[H] | R5=[H].[H] | R6=[H].[H] | R9=[H] | R10=F | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6cc(C)c(F)cc65)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],[H],,[H].[H],[H].[H],[H].[H],,,[H],F,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-1709915_11888,-11.14280224330276,,0.6224539228492196,,R1=[H]C([H])[H] | R2=[H] | R4=[H].[H] | R5=[H].[H]C([H])[H] | R6=[H].[H] | R9=[H] | R10=[H]C([H])[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H](C)Cc6cc(C)c(C)cc65)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],[H],,[H].[H],[H].[H]C([H])[H],[H].[H],,,[H],[H]C([H])[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN01739752_5843,-10.977086816241162,,0.6022862591766265,,R1=Br | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H] | R9=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6cc(Br)ccc65)cc4F)CC2)n3C)c(=O)c1,Br,[H],[H],,[H],,[H].[H],,[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-1477102_10168,-10.13984574208736,,0.5003935344266368,,R1=[H].[H]C([H])C([H])(C([H])([H])[H])C([H])([H])[H] | R2=[H].[H] | R3=[H].[H] | R6=[H] | R7=[H] | R8=[H] | R9=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@@H](CC(C)C)c6ccccc65)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])C([H])(C([H])([H])[H])C([H])([H])[H],[H].[H],[H].[H],,,[H],[H],[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-6736484_15456,-10.121841300038747,,0.49820238337759093,,R1=[H]C([H])([H])O | R2=[H] | R3=[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R10=Br | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6c5ccc(OC)c6Br)cc4F)CC2)n3C)c(=O)c1,[H]C([H])([H])O,[H],[H],,,[H].[H],[H].[H],[H].[H],,Br,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7493198_13506,-10.014961037709224,,0.4851949934071984,,R1=[H]C([H])[H] | R2=[H] | R3=[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R10=[H]C([H])[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6c5ccc(C)c6C)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],[H],[H],,,[H].[H],[H].[H],[H].[H],,[H]C([H])[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN03276121_5377,-9.86571562872413,,0.4670317404954998,,R1=[H]C([H])([H])O | R2=[H] | R3=[H] | R5=[H] | R7=[H]C([H])[H].[H]C([H])[H] | R9=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC(C)(C)c6cc(OC)ccc65)cc4F)CC2)n3C)c(=O)c1,[H]C([H])([H])O,[H],[H],,[H],,[H]C([H])[H].[H]C([H])[H],,[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN04615641_2527,-9.775732937564637,,0.45608079474568186,,R1=I | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H] | R9=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6cc(I)ccc65)cc4F)CC2)n3C)c(=O)c1,I,[H],[H],,[H],,[H].[H],,[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-6489701_14866,-9.475626339769756,,0.4195576475796454,,R1=[H]C([H])([H])O | R2=[H] | R3=[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H]O | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@@H](O)c6cc(OC)ccc65)cc4F)CC2)n3C)c(=O)c1,[H]C([H])([H])O,[H],[H],,,[H].[H],[H].[H],[H].[H]O,,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
