mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R4,R5,R7,R8,R9,R10,R12,R13,R14,R15,R20,R22,R24,R25,R26,R27,R30,R32,R33,R35,R36,R38,R39,R41,R42
EN300-52470871_46408,-12.951886662697923,,0.8426205468783032,,R1=[H].[H]C([H])C([H])([H])[H] | R2=[H].[H] | R4=[H].[H] | R5=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H].[H] | R12=[H].[H] | R13=[H] | R14=[H] | R15=[H] | R20=[H]C([H])[H] | R22=[H] | R24=[H] | R25=[H] | R26=[H]NC([H])([H])[H] | R27=[H] | R30=[H].[H]C([H])[H] | R32=[H].[H] | R33=[H].[H] | R35=[H] | R36=[H].[H] | R38=F | R39=[H] | R41=[H] | R42=[H]C([H])[H],CC[N@@H+]1CC2(CCN(C(=O)c3cc(C)c(C4=CCN([C@@H](C)c5cc6c(-n7ccc(NC)cc7=O)ccnc6n5C)CC4)c(F)c3)CC2)[C@@H]2COC[C@@H]21,[H].[H]C([H])C([H])([H])[H],[H].[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-52470871_46407,-11.939261386092689,,0.7193834628779723,,R1=[H].[H]C([H])C([H])([H])[H] | R2=[H].[H] | R4=[H].[H] | R5=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H].[H] | R12=[H].[H] | R13=[H] | R14=[H] | R15=[H] | R20=[H]C([H])[H] | R22=[H] | R24=[H] | R25=[H] | R26=[H]NC([H])([H])[H] | R27=[H] | R30=[H].[H]C([H])[H] | R32=[H].[H] | R33=[H].[H] | R35=[H] | R36=[H].[H] | R38=F | R39=[H] | R41=[H] | R42=[H]C([H])[H],CC[N@H+]1CC2(CCN(C(=O)c3cc(C)c(C4=CCN([C@@H](C)c5cc6c(-n7ccc(NC)cc7=O)ccnc6n5C)CC4)c(F)c3)CC2)[C@@H]2COC[C@@H]21,[H].[H]C([H])C([H])([H])[H],[H].[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-2010425_10480,-7.134057254752399,,0.13458733063252237,,R1=[H].[H]C([H])C([H])([H])[H] | R2=[H].[H] | R4=[H].[H] | R5=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H].[H] | R12=[H].[H] | R13=[H] | R14=[H] | R15=[H] | R20=[H]C([H])[H] | R22=[H] | R24=[H] | R25=[H] | R26=[H]NC([H])([H])[H] | R27=[H] | R30=[H].[H]C([H])[H] | R32=[H].[H] | R33=[H].[H] | R35=[H] | R36=[H].[H] | R38=F | R39=[H] | R41=[H] | R42=[H]C([H])[H],CC[N@H+]1CC2(CCN(C(=O)c3cc(C)c(C4=CCN([C@@H](C)c5cc6c(-n7ccc(NC)cc7=O)ccnc6n5C)CC4)c(F)c3)CC2)[C@H]2COC[C@H]21,[H].[H]C([H])C([H])([H])[H],[H].[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
