mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R7,R8,R10,R13,R14,R15,R16,R17,R19,R20,R22,R23,R24,R25,R30,R32,R34,R35,R36,R37,R40,R42,R43,R45,R46,R48,R49,R51,R52
EN300-48611096_34842,-12.333359415142114,,0.7673454217905016,,R7=[H].[H] | R8=[H] | R10=[H].[H] | R13=[H] | R14=[H] | R15=F | R16=[H] | R17=[H] | R19=[H].[H] | R20=[H].[H] | R22=[H].[H] | R23=[H].[H] | R24=[H] | R25=[H] | R30=[H]C([H])[H] | R32=[H] | R34=[H] | R35=[H] | R36=[H]NC([H])([H])[H] | R37=[H] | R40=[H].[H]C([H])[H] | R42=[H].[H] | R43=[H].[H] | R45=[H] | R46=[H].[H] | R48=F | R49=[H] | R51=[H] | R52=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCN(C(=O)c6nnn7c6CO[C@@H](c6ccc(F)cc6)C7)CC5)cc4F)CC2)n3C)c(=O)c1,[H].[H],[H],[H].[H],[H],[H],F,[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-52012713_41890,-10.576444029013095,,0.5535277993944694,,R7=[H].[H] | R8=[H] | R10=[H].[H] | R13=[H] | R14=[H] | R15=[H] | R16=[H] | R17=[H] | R19=[H].[H] | R20=[H].[H] | R22=[H].[H] | R23=[H].[H] | R24=[H] | R25=[H] | R30=[H]C([H])[H] | R32=[H] | R34=[H] | R35=[H] | R36=[H]NC([H])([H])[H] | R37=[H] | R40=[H].[H]C([H])[H] | R42=[H].[H] | R43=[H].[H] | R45=[H] | R46=[H].[H] | R48=F | R49=[H] | R51=[H] | R52=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCN(C(=O)c6nnn7c6CO[C@H](c6ccccc6)C7)CC5)cc4F)CC2)n3C)c(=O)c1,[H].[H],[H],[H].[H],[H],[H],[H],[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-52012713_41891,-9.048959620412957,,0.3676320601503106,,R7=[H].[H] | R8=[H] | R10=[H].[H] | R13=[H] | R14=[H] | R15=[H] | R16=[H] | R17=[H] | R19=[H].[H] | R20=[H].[H] | R22=[H].[H] | R23=[H].[H] | R24=[H] | R25=[H] | R30=[H]C([H])[H] | R32=[H] | R34=[H] | R35=[H] | R36=[H]NC([H])([H])[H] | R37=[H] | R40=[H].[H]C([H])[H] | R42=[H].[H] | R43=[H].[H] | R45=[H] | R46=[H].[H] | R48=F | R49=[H] | R51=[H] | R52=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCN(C(=O)c6nnn7c6CO[C@@H](c6ccccc6)C7)CC5)cc4F)CC2)n3C)c(=O)c1,[H].[H],[H],[H].[H],[H],[H],[H],[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
