mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R6,R11,R12,R13,R14,R15,R16,R17,R22,R24,R26,R27,R28,R29,R32,R34,R35,R37,R38,R40,R41,R43,R44
EN300-53771972_48528,-12.787605317124685,,0.8226274117553398,,R1=[H]O | R2=[H] | R6=[H] | R11=[H].[H] | R12=[H].[H] | R13=[H].[H] | R14=[H].[H] | R15=[H].[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)n5c(O)cc6c(N7CC[NH2+]CC7)ncnc65)cc4F)CC2)n3C)c(=O)c1,[H]O,[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-6489028_29623,-9.180039083425797,,0.38358450689170187,,R1=Cl | R2=[H] | R6=[H] | R11=[H].[H] | R12=[H].[H] | R13=[H].[H] | R14=[H].[H] | R15=[H].[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)n5cc(Cl)c6c(N7CC[NH2+]CC7)ncnc65)cc4F)CC2)n3C)c(=O)c1,Cl,[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
