mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R15,R17,R19,R20,R21,R22,R25,R27,R28,R30,R31,R33,R34,R36,R37
EN300-7025497_13678,-10.363709460912732,,0.5276378789624527,,R1=[H]OC([H])[H] | R2=[H].[H] | R4=[H].[H] | R5=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6COC[C@@]6(CO)C5)cc4F)CC2)n3C)c(=O)c1,[H]OC([H])[H],[H].[H],,[H].[H],[H],[H].[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-304307_19949,-10.146450376643557,,0.5011973222861719,,R1=[H]C([H])[H] | R2=[H].[H] | R4=[H].[H] | R5=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6COC[C@@]6(C)C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],[H].[H],,[H].[H],[H],[H].[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-6473942_37043,-9.391243677928017,,0.4092882286486622,,R1=[H]C([H])([H])N(C=O)C([H])([H])[H] | R2=[H].[H] | R4=[H].[H] | R5=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H]6COC[C@]6(C(=O)N(C)C)C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])([H])N(C=O)C([H])([H])[H],[H].[H],,[H].[H],[H],[H].[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-28220839_37039,-9.38117154532108,,0.4080624442634406,,R1=[H]C([H])([H])N(C=O)C([H])([H])C([H])([H])[H] | R2=[H].[H] | R4=[H].[H] | R5=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CCN(C)C(=O)[C@]12COC[C@H]1CN(C(=O)c1cc(C)c(C3=CCN([C@@H](C)c4cc5c(-n6ccc(NC)cc6=O)ccnc5n4C)CC3)c(F)c1)C2,[H]C([H])([H])N(C=O)C([H])([H])C([H])([H])[H],[H].[H],,[H].[H],[H],[H].[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN04709566_7064,-9.17428479644175,,0.3828842068253316,,R2=[H].[H] | R3=[H].[H] | R4=[H] | R5=[H] | R6=[H].[H] | R7=[H].[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H]6COC[C@H]6C5)cc4F)CC2)n3C)c(=O)c1,,[H].[H],[H].[H],[H],[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-52470375_46390,-8.832598466873927,,0.3413007821651448,,R1=[H]C([H])C([H])([H])[H] | R2=[H].[H] | R4=[H].[H] | R5=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CC[C@]12COC[C@H]1CN(C(=O)c1cc(C)c(C3=CCN([C@@H](C)c4cc5c(-n6ccc(NC)cc6=O)ccnc5n4C)CC3)c(F)c1)C2,[H]C([H])C([H])([H])[H],[H].[H],,[H].[H],[H],[H].[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-52818213_46334,-8.69250898202323,,0.324251810535693,,R1=[H]C([H])[H] | R2=[H].[H] | R4=C#N.[H] | R5=[H]C([H])[H] | R6=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@]6(C)COC[C@@]6(C)[C@@H]5C#N)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],[H].[H],,C#N.[H],[H]C([H])[H],[H].[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-304307_19948,-8.46528412945713,,0.29659841407246423,,R1=[H]C([H])[H] | R2=[H].[H] | R4=[H].[H] | R5=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H]6COC[C@]6(C)C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],[H].[H],,[H].[H],[H],[H].[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-322272_20641,-8.032832064795105,,0.243968746761042,,R1=[H]C([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H] | R2=[H].[H] | R4=[H].[H] | R5=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6COC[C@@]6(C[NH+](C)C)C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H],[H].[H],,[H].[H],[H],[H].[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-53702221_48149,-7.419449513498547,,0.1693197341945306,,R1=[H].[H]OC([H])[H] | R3=[H].[H] | R4=[H] | R5=[H].[H] | R7=[H].[H] | R8=[H] | R9=[H] | R10=[H] | R15=[H]C([H])[H] | R17=[H] | R19=[H] | R20=[H] | R21=[H]NC([H])([H])[H] | R22=[H] | R25=[H].[H]C([H])[H] | R27=[H].[H] | R28=[H].[H] | R30=[H] | R31=[H].[H] | R33=F | R34=[H] | R36=[H] | R37=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H]6COC[C@@H]6[C@H]5CO)cc4F)CC2)n3C)c(=O)c1,[H].[H]OC([H])[H],,[H].[H],[H],[H].[H],,[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
