mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R2,R3,R4,R5,R6,R8,R9,R11,R12,R13,R14,R15,R16,R21,R23,R25,R26,R27,R28,R31,R33,R34,R36,R37,R39,R40,R42,R43
EN300-53511389_48131,-11.399868436484887,,0.6537390277885675,,R2=[H].[H] | R3=[H].[H] | R4=[H] | R5=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H] | R11=[H].[H] | R12=[H] | R13=[H] | R14=[H] | R15=[H] | R16=[H] | R21=[H]C([H])[H] | R23=[H] | R25=[H] | R26=[H] | R27=[H]NC([H])([H])[H] | R28=[H] | R31=[H].[H]C([H])[H] | R33=[H].[H] | R34=[H].[H] | R36=[H] | R37=[H].[H] | R39=F | R40=[H] | R42=[H] | R43=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC([C@H]6C[NH2+]Cc7ccccc76)C5)cc4F)CC2)n3C)c(=O)c1,[H].[H],[H].[H],[H],[H],[H].[H],[H].[H],[H],[H].[H],[H],[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-53511389_48132,-11.256582572616272,,0.6363010549771104,,R2=[H].[H] | R3=[H].[H] | R4=[H] | R5=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H] | R11=[H].[H] | R12=[H] | R13=[H] | R14=[H] | R15=[H] | R16=[H] | R21=[H]C([H])[H] | R23=[H] | R25=[H] | R26=[H] | R27=[H]NC([H])([H])[H] | R28=[H] | R31=[H].[H]C([H])[H] | R33=[H].[H] | R34=[H].[H] | R36=[H] | R37=[H].[H] | R39=F | R40=[H] | R42=[H] | R43=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC([C@@H]6C[NH2+]Cc7ccccc76)C5)cc4F)CC2)n3C)c(=O)c1,[H].[H],[H].[H],[H],[H],[H].[H],[H].[H],[H],[H].[H],[H],[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
