mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R6,R7,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R25,R27,R29,R30,R31,R32,R35,R37,R38,R40,R41,R43,R44,R46,R47
EN300-1703380_11925,-10.201141145687298,,0.5078532206272457,,R1=[H] | R2=[H] | R3=[H] | R5=[H] | R6=[H] | R7=[H].[H] | R10=[H] | R11=[H] | R13=[H].[H] | R14=[H].[H] | R16=[H].[H] | R18=[H] | R19=[H] | R20=[H] | R25=[H]C([H])[H] | R27=[H] | R29=[H] | R30=[H] | R31=[H]NC([H])([H])[H] | R32=[H] | R35=[H].[H]C([H])[H] | R37=[H].[H] | R38=[H].[H] | R40=[H] | R41=[H].[H] | R43=F | R44=[H] | R46=[H] | R47=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6ccc(OCc7ccccc7)cc6C5)cc4F)CC2)n3C)c(=O)c1,[H],[H],[H],,[H],[H],[H].[H],,[H],[H],,[H].[H],[H].[H],,[H].[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-1700495_11696,-9.869761670619434,,0.4675241461429195,,R1=[H].[H]C([H])[H] | R2=[H].[H] | R4=[H] | R5=[H] | R7=[H] | R9=[H].[H] | R12=[H].[H] | R14=[H] | R15=[H] | R16=[H] | R17=[H] | R18=[H] | R19=[H] | R20=[H] | R25=[H]C([H])[H] | R27=[H] | R29=[H] | R30=[H] | R31=[H]NC([H])([H])[H] | R32=[H] | R35=[H].[H]C([H])[H] | R37=[H].[H] | R38=[H].[H] | R40=[H] | R41=[H].[H] | R43=F | R44=[H] | R46=[H] | R47=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6cc(OCc7ccccc7)ccc6C[C@H]5C)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],[H].[H],,[H],[H],,[H],[H].[H],,,[H].[H],,[H],[H],[H],[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
