mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R8,R10,R11,R13,R14,R19,R21,R23,R24,R25,R26,R29,R31,R32,R34,R35,R37,R38,R40,R41
EN300-71684_2419,-11.722164667294962,,0.6929626661738212,,R1=[H].[H] | R2=[H].[H] | R3=[H] | R8=[H].[H] | R10=[H].[H] | R11=[H].[H] | R13=[H] | R14=[H] | R19=[H]C([H])[H] | R21=[H] | R23=[H] | R24=[H] | R25=[H]NC([H])([H])[H] | R26=[H] | R29=[H].[H]C([H])[H] | R31=[H].[H] | R32=[H].[H] | R34=[H] | R35=[H].[H] | R37=F | R38=[H] | R40=[H] | R41=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCn6c(nnc6C6CC6)C5)cc4F)CC2)n3C)c(=O)c1,[H].[H],[H].[H],[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-331776_13560,-10.425608388227202,,0.5351710143494706,,R1=[H]C([H])[H].[H]C([H])[H] | R2=[H].[H] | R3=[H] | R8=[H].[H] | R10=[H].[H] | R11=[H].[H] | R13=[H] | R14=[H] | R19=[H]C([H])[H] | R21=[H] | R23=[H] | R24=[H] | R25=[H]NC([H])([H])[H] | R26=[H] | R29=[H].[H]C([H])[H] | R31=[H].[H] | R32=[H].[H] | R34=[H] | R35=[H].[H] | R37=F | R38=[H] | R40=[H] | R41=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCn6c(nnc6[C@H]6CC6(C)C)C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H].[H]C([H])[H],[H].[H],[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
