mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R6,R8,R9,R11,R12,R13,R14,R19,R21,R23,R24,R25,R26,R29,R31,R32,R34,R35,R37,R38,R40,R41
EN300-28220887_36097,-11.65578881829758,,0.6848846868191023,,R1=[H] | R6=[H].[H] | R8=[H] | R9=[H].[H] | R11=[H].[H] | R12=[H] | R13=[H] | R14=[H] | R19=[H]C([H])[H] | R21=[H] | R23=[H] | R24=[H] | R25=[H]NC([H])([H])[H] | R26=[H] | R29=[H].[H]C([H])[H] | R31=[H].[H] | R32=[H].[H] | R34=[H] | R35=[H].[H] | R37=F | R38=[H] | R40=[H] | R41=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H]6OCc7cnnn7[C@H]6C5)cc4F)CC2)n3C)c(=O)c1,[H],[H].[H],[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-26632204_18276,-11.4768431085874,,0.6631068900678867,,R1=[H] | R6=[H].[H] | R8=[H] | R9=[H].[H] | R11=[H].[H] | R12=[H] | R13=[H] | R14=[H] | R19=[H]C([H])[H] | R21=[H] | R23=[H] | R24=[H] | R25=[H]NC([H])([H])[H] | R26=[H] | R29=[H].[H]C([H])[H] | R31=[H].[H] | R32=[H].[H] | R34=[H] | R35=[H].[H] | R37=F | R38=[H] | R40=[H] | R41=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H]6[C@@H](C5)OCc5cnnn56)cc4F)CC2)n3C)c(=O)c1,[H],[H].[H],[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-28220887_36095,-10.457332545699298,,0.5390318627299644,,R1=[H] | R6=[H].[H] | R8=[H] | R9=[H].[H] | R11=[H].[H] | R12=[H] | R13=[H] | R14=[H] | R19=[H]C([H])[H] | R21=[H] | R23=[H] | R24=[H] | R25=[H]NC([H])([H])[H] | R26=[H] | R29=[H].[H]C([H])[H] | R31=[H].[H] | R32=[H].[H] | R34=[H] | R35=[H].[H] | R37=F | R38=[H] | R40=[H] | R41=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H]6OCc7cnnn7[C@@H]6C5)cc4F)CC2)n3C)c(=O)c1,[H],[H].[H],[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
