mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R10,R11,R12,R13,R14,R15,R16,R21,R23,R25,R26,R27,R28,R31,R33,R34,R36,R37,R39,R40,R42,R43
EN300-211213_23824,-11.72088071360234,2.0,0.4771225633056333,,R1=[H].[H]C([H])[H] | R3=[H].[H] | R4=[H].[H] | R10=[H] | R11=[H].[H] | R12=[H].[H] | R13=[H].[H] | R14=[H].[H] | R15=[H] | R16=[H] | R21=[H]C([H])[H] | R23=[H] | R25=[H] | R26=[H] | R27=[H]NC([H])([H])[H] | R28=[H] | R31=[H].[H]C([H])[H] | R33=[H].[H] | R34=[H].[H] | R36=[H] | R37=[H].[H] | R39=F | R40=[H] | R42=[H] | R43=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCn6c(C7CCCC7)nnc6[C@@H]5C)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],,[H].[H],[H].[H],,[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-1661163_23917,-11.437617781004503,2.0,0.4633332579721665,,R1=[H].[H] | R2=[H].[H] | R3=[H].[H] | R4=[H] | R5=[H].[H] | R10=[H].[H] | R12=[H].[H] | R13=[H].[H] | R15=[H] | R16=[H] | R21=[H]C([H])[H] | R23=[H] | R25=[H] | R26=[H] | R27=[H]NC([H])([H])[H] | R28=[H] | R31=[H].[H]C([H])[H] | R33=[H].[H] | R34=[H].[H] | R36=[H] | R37=[H].[H] | R39=F | R40=[H] | R42=[H] | R43=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCn6c(nnc6C6CCCC6)C5)cc4F)CC2)n3C)c(=O)c1,[H].[H],[H].[H],[H].[H],[H],[H].[H],[H].[H],,[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-211213_23823,-10.510265375028244,2.0,0.4181895275148996,,R1=[H].[H]C([H])[H] | R3=[H].[H] | R4=[H].[H] | R10=[H] | R11=[H].[H] | R12=[H].[H] | R13=[H].[H] | R14=[H].[H] | R15=[H] | R16=[H] | R21=[H]C([H])[H] | R23=[H] | R25=[H] | R26=[H] | R27=[H]NC([H])([H])[H] | R28=[H] | R31=[H].[H]C([H])[H] | R33=[H].[H] | R34=[H].[H] | R36=[H] | R37=[H].[H] | R39=F | R40=[H] | R42=[H] | R43=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCn6c(C7CCCC7)nnc6[C@H]5C)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],,[H].[H],[H].[H],,[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
