mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R17,R19,R21,R22,R23,R24,R27,R29,R30,R32,R33,R35,R36,R38,R39
EN300-105291_3159,-12.447715765303757,2.0,0.5125050623959979,,R1=[H].[H]C([H])[H] | R3=[H].[H] | R4=[H].[H] | R6=Cl | R7=[H] | R8=Cl | R9=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(Cl)cc(Cl)cc6[C@@H]5C)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],,[H].[H],[H].[H],,Cl,[H],Cl,[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-6479248_19308,-12.435149745764383,2.0,0.5118933456469492,,R1=Cl | R2=[H] | R4=[H].[H] | R6=[H].[H] | R7=[H].[H] | R9=[H] | R10=Br | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6cc(Br)c(Cl)cc6C5)cc4F)CC2)n3C)c(=O)c1,Cl,[H],,[H].[H],,[H].[H],[H].[H],,[H],Br,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN02039042_6665,-12.432967783254854,2.0,0.5117871272053264,,R2=[H].[H] | R3=[H].[H] | R5=[H].[H] | R7=[H] | R8=[H] | R9=[H] | R10=[H]C([H])[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6cc(C)ccc6C5)cc4F)CC2)n3C)c(=O)c1,,[H].[H],[H].[H],,[H].[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-6249947_18003,-12.431749749826755,2.0,0.5117278330552151,,R1=[H]C([H])([H])O | R2=[H] | R3=Br | R5=[H].[H] | R6=[H].[H] | R8=[H].[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(Br)cc(OC)cc6C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])([H])O,[H],Br,,[H].[H],[H].[H],,[H].[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7549596_19684,-12.430299095980908,2.0,0.5116572148891525,,R1=[H]C([H])[H].[H]C([H])[H] | R2=[H].[H] | R4=[H].[H] | R6=Br | R7=[H] | R8=[H] | R9=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6c(Br)cccc6C(C)(C)C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H].[H]C([H])[H],[H].[H],,[H].[H],,Br,[H],[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN00171060_1694,-12.429641954455782,2.0,0.5116252250871189,,R1=FC(F)F | R2=[H] | R3=[H] | R4=C#N | R7=[H].[H] | R8=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(C#N)cc(C(F)(F)F)cc6C5)cc4F)CC2)n3C)c(=O)c1,FC(F)F,[H],[H],C#N,,,[H].[H],[H].[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-52053202_37358,-12.428627058929221,2.0,0.5115758197372238,,R1=[H]C([H])([H])O | R2=[H] | R3=[H] | R5=[H].[H] | R7=[H].[H]C([H])[H] | R8=[H].[H]C([H])[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6ccc(OC)cc6[C@@H](C)[C@H]5C)cc4F)CC2)n3C)c(=O)c1,[H]C([H])([H])O,[H],[H],,[H].[H],,[H].[H]C([H])[H],[H].[H]C([H])[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN05341287_7389,-12.421733674774663,2.0,0.511240248195913,,R1=Br | R2=[H] | R3=[H] | R5=[H]C([H])[H] | R7=[H].[H] | R8=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(C)cc(Br)cc6C5)cc4F)CC2)n3C)c(=O)c1,Br,[H],[H],,[H]C([H])[H],,[H].[H],[H].[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN01361134_3222,-12.411856982201666,2.0,0.5107594485080583,,R1=Cl | R3=[H] | R5=[H].[H] | R6=Cl | R7=[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(Cl)cc(Cl)cc6C5)cc4F)CC2)n3C)c(=O)c1,Cl,,[H],,[H].[H],Cl,[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN01096145_3143,-12.406760173851524,2.0,0.5105113346940774,,R1=[H]C([H])([H])O | R3=[H] | R5=[H].[H] | R6=[H] | R7=[H] | R8=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6cccc(OC)c6C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])([H])O,,[H],,[H].[H],[H],[H],[H].[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-123734_3473,-12.396920653838064,2.0,0.5100323445750525,,R1=F | R2=[H] | R3=[H] | R4=[H] | R6=[H].[H] | R7=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6cccc(F)c6C5)cc4F)CC2)n3C)c(=O)c1,F,[H],[H],[H],,[H].[H],[H].[H],,[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7543103_17686,-12.390573766474555,2.0,0.5097233766244283,,R1=[H]O | R2=[H] | R3=[H] | R4=F | R6=[H].[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(O)ccc(F)c6C5)cc4F)CC2)n3C)c(=O)c1,[H]O,[H],[H],F,,[H].[H],,[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-37430778_13232,-12.38481450028284,2.0,0.5094430142088947,,R1=[H]C([H])([H])O | R2=[H] | R3=F | R4=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(cc(F)cc6OC)C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])([H])O,[H],F,[H],,[H].[H],,[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN01277019_1490,-12.382532681228039,2.0,0.509331934727461,,R1=Cl | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H] | R8=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6ccc(Cl)cc6C5)cc4F)CC2)n3C)c(=O)c1,Cl,[H],[H],,[H],,[H].[H],[H].[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN01533296_7547,-12.382114283871713,2.0,0.5093115670470018,,R1=Cl | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H]C([H])[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6ccc(Cl)cc6[C@@H](C)C5)cc4F)CC2)n3C)c(=O)c1,Cl,[H],[H],,[H],,[H].[H]C([H])[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN00335358_2448,-12.356025140744087,2.0,0.5080415415015623,,R1=F | R3=[H] | R5=[H].[H] | R6=[H] | R7=[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(F)cccc6C5)cc4F)CC2)n3C)c(=O)c1,F,,[H],,[H].[H],[H],[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN01275680_4892,-12.354682914088956,2.0,0.507976201596321,,R1=F | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6cc(F)ccc6C5)cc4F)CC2)n3C)c(=O)c1,F,[H],[H],,[H],,[H].[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN01359009_3194,-12.343940392192605,2.0,0.507453253135957,,R1=[H]C([H])([H])C=O | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H] | R8=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6ccc(C(C)=O)cc6C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])([H])C=O,[H],[H],,[H],,[H].[H],[H].[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-305270_7956,-12.31765260150232,2.0,0.5061735573810406,,R1=Br | R2=[H] | R4=[H].[H] | R5=[H].[H] | R7=[H].[H] | R9=[H] | R10=Br | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6cc(Br)c(Br)cc6C5)cc4F)CC2)n3C)c(=O)c1,Br,[H],,[H].[H],[H].[H],,[H].[H],,[H],Br,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-1256175_47792,-12.310963085197443,2.0,0.505847910173991,,R1=[H]C([H])[H] | R2=[H] | R3=[H] | R5=[H].[H] | R6=[H].[H] | R8=[H].[H]C([H])[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6ccc(C)cc6[C@H]5C)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],[H],[H],,[H].[H],[H].[H],,[H].[H]C([H])[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-366757_8903,-12.30977153949032,2.0,0.5057899054522874,,R1=[H].[H]C([H])[H] | R2=[H].[H] | R4=[H].[H] | R6=[H] | R7=[H] | R8=[H] | R9=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6ccccc6[C@H](C)C5)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],[H].[H],,[H].[H],,[H],[H],[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN05488204_2350,-12.304178196510627,2.0,0.5055176202172429,,R1=Br | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H] | R8=FC(F)F.[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6cc(Br)ccc6[C@@H]5C(F)(F)F)cc4F)CC2)n3C)c(=O)c1,Br,[H],[H],,[H],,[H].[H],FC(F)F.[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-45610201_31869,-12.300982879210268,2.0,0.5053620714290981,,R1=C#N | R2=[H] | R3=[H] | R4=F | R6=[H].[H] | R7=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(F)ccc(C#N)c6C5)cc4F)CC2)n3C)c(=O)c1,C#N,[H],[H],F,,[H].[H],[H].[H],,[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-52427648_41611,-12.297779874963966,2.0,0.5052061484386398,,R1=[H]C([H])[H] | R2=[H] | R3=F | R6=[H] | R7=[H].[H] | R8=[H].[H] | R10=[H].[H]C([H])[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6cc(C)cc(F)c6[C@H]5C)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],[H],F,,,[H],[H].[H],[H].[H],,[H].[H]C([H])[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN04964007_5309,-12.296235065657747,2.0,0.505130946762903,,R1=Cl | R2=[O-] | R4=Cl | R6=[H].[H] | R7=[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(cc(Cl)c([O-])c6Cl)C5)cc4F)CC2)n3C)c(=O)c1,Cl,[O-],,Cl,,[H].[H],[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-183382_31571,-12.291894099055904,2.0,0.5049196275007384,,R1=[H].[H]C([H])C([H])([H])[H] | R2=[H].[H] | R4=Br | R5=[H] | R6=[H] | R7=[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CC[C@H]1Cc2c(Br)cccc2CN1C(=O)c1cc(C)c(C2=CCN([C@@H](C)c3cc4c(-n5ccc(NC)cc5=O)ccnc4n3C)CC2)c(F)c1,[H].[H]C([H])C([H])([H])[H],[H].[H],,Br,[H],[H],[H],,[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7866938_45815,-12.29169354993737,2.0,0.50490986472308,,R1=I | R2=[H] | R3=[H] | R4=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(I)cccc6C5)cc4F)CC2)n3C)c(=O)c1,I,[H],[H],[H],,[H].[H],,[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-19057332_31180,-12.286727450127373,2.0,0.5046681138311842,,R1=[H].[H]C([H])[H] | R3=[H].[H] | R4=[H].[H] | R6=F | R7=[H] | R8=Br | R9=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6c(F)cc(Br)cc6[C@@H]5C)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],,[H].[H],[H].[H],,F,[H],Br,[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
