mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R19,R20,R21,R22,R24,R25,R26,R27,R29,R30,R31,R36,R38,R40,R41,R42,R43,R46,R48,R49,R51,R52,R54,R55,R57,R58
EN300-20598014_47615,-9.842983687559597,2.0,0.3857061000238773,,R1=[H]C([H])[H] | R2=[H].[H] | R3=[H].[H] | R4=[H].[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H].[H] | R11=[H].[H] | R12=[H] | R13=[H].[H] | R14=[H].[H] | R19=[H] | R20=[H] | R21=[H] | R22=[H] | R24=[H] | R25=[H].[H] | R26=[H].[H] | R27=[H].[H] | R29=[H].[H] | R30=[H] | R31=[H] | R36=[H]C([H])[H] | R38=[H] | R40=[H] | R41=[H] | R42=[H]NC([H])([H])[H] | R43=[H] | R46=[H].[H]C([H])[H] | R48=[H].[H] | R49=[H].[H] | R51=[H] | R52=[H].[H] | R54=F | R55=[H] | R57=[H] | R58=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC[C@@H](c6nc7ccccc7n6C6CC[NH+](C7(C)CCCCCCC7)CC6)C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],[H].[H],[H].[H],[H].[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H].[H],[H].[H],[H],[H].[H],[H].[H],[H],[H],[H],[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-20598014_47614,-8.631201942606186,2.0,0.3267162832997551,,R1=[H]C([H])[H] | R2=[H].[H] | R3=[H].[H] | R4=[H].[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H].[H] | R11=[H].[H] | R12=[H] | R13=[H].[H] | R14=[H].[H] | R19=[H] | R20=[H] | R21=[H] | R22=[H] | R24=[H] | R25=[H].[H] | R26=[H].[H] | R27=[H].[H] | R29=[H].[H] | R30=[H] | R31=[H] | R36=[H]C([H])[H] | R38=[H] | R40=[H] | R41=[H] | R42=[H]NC([H])([H])[H] | R43=[H] | R46=[H].[H]C([H])[H] | R48=[H].[H] | R49=[H].[H] | R51=[H] | R52=[H].[H] | R54=F | R55=[H] | R57=[H] | R58=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC[C@@H](c6nc7ccccc7n6C6CC[NH+](C7(C)CCCCCCC7)CC6)C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],[H].[H],[H].[H],[H].[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H].[H],[H].[H],[H],[H].[H],[H].[H],[H],[H],[H],[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
