mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R4,R6,R7,R9,R11,R12,R13,R14,R16,R17,R22,R24,R26,R27,R28,R29,R32,R34,R35,R37,R38,R40,R41,R43,R44
EN300-705908_18021,-11.507245613041798,2.0,0.46672275700355836,,R1=[H]C([H])[H] | R2=[H] | R4=[H] | R6=[H] | R7=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R13=[H] | R14=[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6ccccc6[C@H](c6cnn(C)c6)C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],[H],[H],[H],[H].[H],[H].[H],[H],[H],[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-705908_18022,-10.300528722823769,2.0,0.40797949858403076,,R1=[H]C([H])[H] | R2=[H] | R4=[H] | R6=[H] | R7=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R13=[H] | R14=[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6ccccc6[C@@H](c6cnn(C)c6)C5)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],[H],[H],[H],[H].[H],[H].[H],[H],[H],[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
