mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R4,R5,R6,R7,R10,R11,R12,R13,R15,R16,R17,R22,R24,R26,R27,R28,R29,R32,R34,R35,R37,R38,R40,R41,R43,R44
EN300-153033_3999,-11.859558100078862,2.0,0.48387341068066525,,R1=[H]C([H])C([H])([H])[H] | R4=[H] | R5=[H] | R6=[H] | R7=[H] | R10=[H] | R11=[H].[H] | R12=[H].[H] | R13=[H].[H] | R15=[H].[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],CCc1nc2ccccc2n1[C@@H]1CCCN(C(=O)c2cc(C)c(C3=CCN([C@@H](C)c4cc5c(-n6ccc(NC)cc6=O)ccnc5n4C)CC3)c(F)c2)C1,[H]C([H])C([H])([H])[H],[H],[H],[H],[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-69341_38677,-11.38843641440575,2.0,0.46093909762606067,,R1=[H] | R4=[H] | R5=[H] | R6=[H] | R7=[H] | R10=[H] | R11=[H].[H] | R12=[H].[H] | R13=[H].[H] | R15=[H].[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC[C@@H](n6cnc7ccccc76)C5)cc4F)CC2)n3C)c(=O)c1,[H],[H],[H],[H],[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-69341_38678,-9.04434049981932,2.0,0.34682796419705075,,R1=[H] | R4=[H] | R5=[H] | R6=[H] | R7=[H] | R10=[H] | R11=[H].[H] | R12=[H].[H] | R13=[H].[H] | R15=[H].[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC[C@H](n6cnc7ccccc76)C5)cc4F)CC2)n3C)c(=O)c1,[H],[H],[H],[H],[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
